proto,profile,delay,loss,sig,kem,full_med,full_avg,full_p95,full_p99,resumed_med,resumed_avg,resumed_p95,resumed_p99,ratio,full_n,resumed_n
quic,none,0,0,mldsa65,mlkem768,5.68,5.68,5.68,5.68,3.46,3.6,5.09,6.18,1.6,1,100
quic,none,0,0,mldsa87,hqc256,105.46,105.46,105.46,105.46,92.025,93.26,108.18,119.14,1.1,1,100
quic,simple,200,10,mldsa65,mlkem768,2406.56,2406.56,2406.56,2406.56,404.095,687.06,2407.05,4035.76,6.0,1,100
quic,simple,200,10,mldsa87,hqc256,1432.52,1432.52,1432.52,1432.52,1232.095,1490.55,2951.33,4377.25,1.2,1,100
quic,simple,35,2,mldsa65,mlkem768,109.98,109.98,109.98,109.98,73.715,77.1,77.88,227.69,1.5,1,100
quic,simple,35,2,mldsa87,hqc256,198.39,198.39,198.39,198.39,163.54000000000002,169.36,200.62,300.75,1.2,1,100
tls,none,0,0,mldsa65,mlkem768,17.0,17.5,21.0,21.0,17.0,17.49,23.0,36.0,1.0,6,95
tls,none,0,0,mldsa87,hqc256,106.0,107.4,119.0,119.0,107.0,108.24,123.0,134.0,1.0,15,86
tls,simple,200,10,mldsa65,mlkem768,817.0,1043.78,2452.0,4141.0,,,,,0,101,0
tls,simple,200,10,mldsa87,hqc256,1210.0,1397.47,2825.0,3557.0,,,,,0,101,0
tls,simple,35,2,mldsa65,mlkem768,125.0,175.22,270.0,1276.0,,,,,0,101,0
tls,simple,35,2,mldsa87,hqc256,246.0,264.37,480.0,517.0,,,,,0,101,0
