run_id,duration_ms,success
1,109,1
2,80,1
3,79,1
4,94,1
5,91,1
6,93,1
7,69,1
8,220,1
9,84,1
10,106,1
11,140,1
12,89,1
13,350,1
14,87,1
15,190,1
16,59,1
17,68,1
18,158,1
19,535,1
20,71,1
21,150,1
22,68,1
23,61,1
24,100,1
25,40,1
26,65,1
27,198,1
28,71,1
29,65,1
30,102,1
31,87,1
32,130,1
33,56,1
34,88,1
35,62,1
36,156,1
37,68,1
38,186,1
39,222,1
40,84,1
41,203,1
42,449,1
43,173,1
44,61,1
45,64,1
46,161,1
47,94,1
48,99,1
49,160,1
50,92,1
51,146,1
52,115,1
53,229,1
54,273,1
55,220,1
56,326,1
57,200,1
58,291,1
59,351,1
60,70,1
61,68,1
62,143,1
63,78,1
64,634,1
65,113,1
66,171,1
67,200,1
68,199,1
69,86,1
70,497,1
71,107,1
72,417,1
73,81,1
74,58,1
75,51,1
76,136,1
77,81,1
78,162,1
79,117,1
80,68,1
81,69,1
82,77,1
83,120,1
84,97,1
85,146,1
86,65,1
87,185,1
88,80,1
89,62,1
90,263,1
91,185,1
92,167,1
93,90,1
94,171,1
95,85,1
96,141,1
97,66,1
98,89,1
99,131,1
100,104,1
101,88,1
102,95,1
103,250,1
104,42,1
105,184,1
106,221,1
107,343,1
108,202,1
109,152,1
110,144,1
111,299,1
112,101,1
113,103,1
114,67,1
115,87,1
116,78,1
117,147,1
118,204,1
119,74,1
120,201,1
121,110,1
122,306,1
123,179,1
124,208,1
125,118,1
126,81,1
127,178,1
128,134,1
129,335,1
130,118,1
131,82,1
132,52,1
133,98,1
134,121,1
135,61,1
136,39,1
137,105,1
138,64,1
139,79,1
140,145,1
141,49,1
142,47,1
143,74,1
144,60,1
145,93,1
146,82,1
147,81,1
148,86,1
149,44,1
150,145,1
151,388,1
152,87,1
153,82,1
154,61,1
155,139,1
156,77,1
157,157,1
158,59,1
159,50,1
160,158,1
161,172,1
162,67,1
163,278,1
164,76,1
165,74,1
166,324,1
167,237,1
168,68,1
169,188,1
170,115,1
171,87,1
172,90,1
173,83,1
174,58,1
175,233,1
176,170,1
177,44,1
178,56,1
179,85,1
180,103,1
181,100,1
182,127,1
183,55,1
184,81,1
185,137,1
186,49,1
187,49,1
188,175,1
189,49,1
190,43,1
191,87,1
192,134,1
193,67,1
194,113,1
195,181,1
196,140,1
197,136,1
198,65,1
199,88,1
200,55,1
201,78,1
202,140,1
203,55,1
204,64,1
205,135,1
206,64,1
207,83,1
208,84,1
209,92,1
210,260,1
211,180,1
212,100,1
213,327,1
214,184,1
215,72,1
216,176,1
217,113,1
218,167,1
219,80,1
220,77,1
221,110,1
222,163,1
223,71,1
224,104,1
225,56,1
226,48,1
227,93,1
228,183,1
229,67,1
230,100,1
231,53,1
232,122,1
233,102,1
234,478,1
235,134,1
236,288,1
237,103,1
238,132,1
239,83,1
240,63,1
241,158,1
242,82,1
243,108,1
244,110,1
245,155,1
246,71,1
247,79,1
248,38,1
249,230,1
250,275,1
251,85,1
252,123,1
253,411,1
254,69,1
255,177,1
256,95,1
257,104,1
258,88,1
259,202,1
260,144,1
261,417,1
262,156,1
263,353,1
264,508,1
265,54,1
266,175,1
267,63,1
268,75,1
269,69,1
270,60,1
271,262,1
272,157,1
273,207,1
274,98,1
275,172,1
276,42,1
277,120,1
278,59,1
279,43,1
280,154,1
281,418,1
282,172,1
283,94,1
284,95,1
285,124,1
286,54,1
287,89,1
288,189,1
289,362,1
290,135,1
291,135,1
292,224,1
293,55,1
294,52,1
295,109,1
296,57,1
297,85,1
298,92,1
299,90,1
300,162,1
301,77,1
302,171,1
303,160,1
304,133,1
305,68,1
306,99,1
307,96,1
308,91,1
309,98,1
310,129,1
311,102,1
312,71,1
313,75,1
314,69,1
315,77,1
316,104,1
317,98,1
318,161,1
319,124,1
320,65,1
321,87,1
322,64,1
323,103,1
324,71,1
325,66,1
326,112,1
327,89,1
328,134,1
329,114,1
330,100,1
331,82,1
332,412,1
333,174,1
334,618,1
335,52,1
336,293,1
337,99,1
338,67,1
339,118,1
340,100,1
341,61,1
342,83,1
343,182,1
344,626,1
345,334,1
346,420,1
347,121,1
348,309,1
349,123,1
350,193,1
351,143,1
352,436,1
353,202,1
354,76,1
355,218,1
356,67,1
357,48,1
358,70,1
359,79,1
360,104,1
361,66,1
362,237,1
363,210,1
364,77,1
365,93,1
366,204,1
367,147,1
368,233,1
369,189,1
370,211,1
371,275,1
372,511,1
373,94,1
374,51,1
375,84,1
376,73,1
377,118,1
378,47,1
379,102,1
380,128,1
381,59,1
382,58,1
383,204,1
384,192,1
385,191,1
386,369,1
387,474,1
388,269,1
389,142,1
390,162,1
391,89,1
392,172,1
393,292,1
394,110,1
395,154,1
396,160,1
397,109,1
398,142,1
399,257,1
