run_id,duration_ms,success
1,2552,1
2,1865,1
3,1960,1
4,1481,1
5,1530,1
6,1501,1
7,1819,1
8,1446,1
9,1972,1
10,3139,1
11,1576,1
12,1513,1
13,1867,1
14,2081,1
15,1723,1
16,1491,1
17,2069,1
18,7198,1
19,1469,1
20,1577,1
21,2729,1
22,2376,1
23,2662,1
24,2051,1
25,5497,1
26,1821,1
27,1966,1
28,1996,1
29,1895,1
30,1879,1
31,5022,1
32,2510,1
33,1906,1
34,2448,1
35,1817,1
36,1816,1
37,1413,1
38,5288,1
39,2557,1
40,1613,1
41,1772,1
42,1964,1
43,6254,1
44,3122,1
45,2141,1
46,1631,1
47,1704,1
48,5000,1
49,1746,1
50,3319,1
51,1747,1
52,1687,1
53,2071,1
54,1552,1
55,1642,1
56,1475,1
57,1922,1
58,2709,1
59,2455,1
60,1772,1
61,1953,1
62,5256,1
63,1714,1
64,1649,1
65,5299,1
66,4789,1
67,1546,1
68,1942,1
69,5180,1
70,1533,1
71,1456,1
72,1634,1
73,1771,1
74,2243,1
75,1696,1
76,2359,1
77,4908,1
78,2859,1
79,2025,1
80,1771,1
81,1950,1
82,4834,1
83,1464,1
84,1507,1
85,1594,1
86,1786,1
87,5869,1
88,2928,1
89,2028,1
90,3261,1
91,3069,1
92,2218,1
93,1879,1
94,2357,1
95,3355,1
96,2285,1
97,2413,1
98,1592,1
99,1618,1
100,1718,1
101,2673,1
102,2594,1
103,2295,1
104,5301,1
105,4108,1
106,1625,1
107,1818,1
108,2573,1
109,2038,1
110,2771,1
111,1871,1
112,5388,1
113,1494,1
114,1892,1
115,1905,1
116,1547,1
117,1979,1
118,2181,1
119,1447,1
120,2094,1
121,1567,1
122,1811,1
123,1718,1
124,1767,1
125,2409,1
126,2515,1
127,1427,1
128,5679,1
129,3786,1
130,1579,1
131,1826,1
132,8320,1
133,1536,1
134,2053,1
135,4912,1
136,2612,1
137,2013,1
138,2453,1
139,1948,1
140,1653,1
141,1681,1
142,4475,1
143,2172,1
144,2518,1
145,1847,1
146,1600,1
147,4299,1
148,5380,1
149,5207,1
150,2702,1
151,2417,1
152,1899,1
153,1409,1
154,1762,1
155,2052,1
156,2100,1
157,1697,1
158,2617,1
159,1528,1
160,1856,1
161,4935,1
162,1879,1
163,2251,1
164,1541,1
165,1707,1
166,1930,1
167,3206,1
168,1572,1
169,1510,1
170,1442,1
171,1493,1
172,1622,1
173,1597,1
174,2082,1
175,2072,1
176,1843,1
177,1703,1
178,5371,1
179,2036,1
180,2033,1
181,1718,1
182,1645,1
183,2321,1
184,1441,1
185,2284,1
186,1744,1
187,1766,1
188,5818,1
189,3391,1
190,2453,1
191,1843,1
192,1450,1
193,2562,1
194,2115,1
195,2066,1
196,1784,1
197,6731,1
198,1881,1
199,1681,1
200,1918,1
201,2187,1
202,1826,1
203,1761,1
204,2554,1
205,1641,1
206,1456,1
207,2105,1
208,1556,1
209,2093,1
210,1524,1
211,2337,1
212,1620,1
213,2504,1
214,1713,1
215,2107,1
216,1562,1
217,1482,1
218,1791,1
219,1902,1
220,1610,1
221,1736,1
222,2070,1
223,3066,1
