run_id,duration_ms,success
1,318,1
2,184,1
3,103,1
4,173,1
5,467,1
6,134,1
7,287,1
8,206,1
9,190,1
10,285,1
11,211,1
12,119,1
13,106,1
14,133,1
15,103,1
16,139,1
17,124,1
18,265,1
19,131,1
20,115,1
21,132,1
22,143,1
23,142,1
24,223,1
25,226,1
26,179,1
27,186,1
28,122,1
29,120,1
30,575,1
31,119,1
32,118,1
33,393,1
34,103,1
35,194,1
36,199,1
37,110,1
38,533,1
39,253,1
40,138,1
41,126,1
42,104,1
43,160,1
44,136,1
45,76,1
46,566,1
47,166,1
48,221,1
49,142,1
50,523,1
51,188,1
52,140,1
53,171,1
54,139,1
55,207,1
56,358,1
57,102,1
58,355,1
59,405,1
60,263,1
61,137,1
62,96,1
63,119,1
64,117,1
65,111,1
66,130,1
67,147,1
68,214,1
69,479,1
70,105,1
71,87,1
72,114,1
73,160,1
74,206,1
75,139,1
76,198,1
77,143,1
78,95,1
79,192,1
80,139,1
81,115,1
82,101,1
83,107,1
84,130,1
85,164,1
86,216,1
87,261,1
88,136,1
89,125,1
90,86,1
91,94,1
92,137,1
93,165,1
94,110,1
95,111,1
96,101,1
97,308,1
98,256,1
99,88,1
100,227,1
101,217,1
102,106,1
103,90,1
104,226,1
105,97,1
106,203,1
107,207,1
108,128,1
109,137,1
110,153,1
111,220,1
112,95,1
113,172,1
114,169,1
115,122,1
116,405,1
117,115,1
118,95,1
119,175,1
120,211,1
121,134,1
122,186,1
123,357,1
124,149,1
125,158,1
126,163,1
127,106,1
128,129,1
129,140,1
130,181,1
131,468,1
132,125,1
133,195,1
134,109,1
135,152,1
136,185,1
137,256,1
138,205,1
139,322,1
140,173,1
141,96,1
142,101,1
143,161,1
144,169,1
145,244,1
146,198,1
147,157,1
148,93,1
149,109,1
150,110,1
151,144,1
152,119,1
153,94,1
154,93,1
155,92,1
156,99,1
157,88,1
158,93,1
159,140,1
160,123,1
161,103,1
162,190,1
163,300,1
164,184,1
165,264,1
166,172,1
167,118,1
168,105,1
169,165,1
170,100,1
171,106,1
172,125,1
173,108,1
174,101,1
175,150,1
176,343,1
177,136,1
178,160,1
179,149,1
180,94,1
181,169,1
182,110,1
183,142,1
184,99,1
185,102,1
186,92,1
187,138,1
188,149,1
189,131,1
190,206,1
191,183,1
192,184,1
193,129,1
194,220,1
195,149,1
196,140,1
197,188,1
198,163,1
199,97,1
200,189,1
201,489,1
202,458,1
203,115,1
204,159,1
205,434,1
206,139,1
207,134,1
208,374,1
209,108,1
210,139,1
211,241,1
212,198,1
213,375,1
214,110,1
215,85,1
216,84,1
217,161,1
218,273,1
219,260,1
220,175,1
221,203,1
222,125,1
223,106,1
224,173,1
225,144,1
226,143,1
227,123,1
228,124,1
229,245,1
230,213,1
231,117,1
232,630,1
233,415,1
234,280,1
235,120,1
236,141,1
237,94,1
238,93,1
239,88,1
240,129,1
241,105,1
242,135,1
243,263,1
244,122,1
245,214,1
246,279,1
247,202,1
248,138,1
249,288,1
250,108,1
251,198,1
252,87,1
253,83,1
254,78,1
255,276,1
256,598,1
257,165,1
258,126,1
259,118,1
260,194,1
261,185,1
262,145,1
263,139,1
264,351,1
265,191,1
266,162,1
267,173,1
268,288,1
269,185,1
270,123,1
271,171,1
272,143,1
273,201,1
274,86,1
275,239,1
276,252,1
277,80,1
278,144,1
279,274,1
280,142,1
281,165,1
282,114,1
283,97,1
284,129,1
285,103,1
286,84,1
287,88,1
288,219,1
289,262,1
290,126,1
291,263,1
292,129,1
293,104,1
294,108,1
295,117,1
296,125,1
297,131,1
298,95,1
299,352,1
300,215,1
301,146,1
302,115,1
303,155,1
304,304,1
305,272,1
306,125,1
307,134,1
308,138,1
309,193,1
310,129,1
311,271,1
312,260,1
313,205,1
314,318,1
315,110,1
316,106,1
317,123,1
318,320,1
319,230,1
320,592,1
321,119,1
322,109,1
323,156,1
324,153,1
325,114,1
326,180,1
327,167,1
328,85,1
329,87,1
330,121,1
331,252,1
332,233,1
333,110,1
334,92,1
335,106,1
336,120,1
337,122,1
338,262,1
339,152,1
340,121,1
341,83,1
342,618,1
343,118,1
344,140,1
345,152,1
346,97,1
347,142,1
348,129,1
349,116,1
350,192,1
351,477,1
352,430,1
353,129,1
354,137,1
355,214,1
356,117,1
357,90,1
358,91,1
359,140,1
360,748,1
361,249,1
362,155,1
363,191,1
364,518,1
365,180,1
366,345,1
367,100,1
368,190,1
369,90,1
370,107,1
371,98,1
372,156,1
373,215,1
374,95,1
375,127,1
376,161,1
377,147,1
378,164,1
379,274,1
380,111,1
381,84,1
382,119,1
383,203,1
384,195,1
385,218,1
386,107,1
387,226,1
388,138,1
389,157,1
390,127,1
391,115,1
392,127,1
393,193,1
394,143,1
395,199,1
396,217,1
397,178,1
398,111,1
399,128,1
400,91,1
401,93,1
402,134,1
403,156,1
404,82,1
405,148,1
406,226,1
407,87,1
408,205,1
409,526,1
410,148,1
411,239,1
412,356,1
413,298,1
414,264,1
415,832,1
416,141,1
417,172,1
418,124,1
419,226,1
420,231,1
421,354,1
422,106,1
423,83,1
424,164,1
425,119,1
426,138,1
427,83,1
428,135,1
429,123,1
430,82,1
431,84,1
432,157,1
433,270,1
434,103,1
435,386,1
436,334,1
437,191,1
438,94,1
439,93,1
440,105,1
441,197,1
442,246,1
443,211,1
444,136,1
445,112,1
446,246,1
447,130,1
448,204,1
449,122,1
450,113,1
451,198,1
452,101,1
453,375,1
454,179,1
455,249,1
456,204,1
457,147,1
458,120,1
459,186,1
460,116,1
461,96,1
462,95,1
463,97,1
464,91,1
465,136,1
466,442,1
467,108,1
468,175,1
469,150,1
470,185,1
471,191,1
472,173,1
473,225,1
474,102,1
475,121,1
476,110,1
477,1132,1
478,136,1
479,178,1
480,641,1
481,207,1
482,124,1
483,196,1
484,391,1
485,149,1
486,173,1
487,156,1
488,94,1
489,99,1
490,392,1
491,546,1
492,108,1
493,227,1
494,365,1
495,373,1
496,186,1
497,111,1
498,170,1
499,205,1
500,104,1
