run_id,duration_ms,success
1,45,1
2,19,1
3,26,1
4,61,1
5,28,1
6,19,1
7,22,1
8,27,1
9,19,1
10,21,1
11,24,1
12,51,1
13,21,1
14,21,1
15,25,1
16,23,1
17,23,1
18,35,1
19,30,1
20,25,1
21,20,1
22,26,1
23,23,1
24,35,1
25,19,1
26,29,1
27,32,1
28,28,1
29,20,1
30,27,1
31,40,1
32,33,1
33,34,1
34,30,1
35,31,1
36,33,1
37,24,1
38,28,1
39,27,1
40,27,1
41,22,1
42,24,1
43,26,1
44,24,1
45,36,1
46,27,1
47,48,1
48,24,1
49,32,1
50,30,1
51,23,1
52,26,1
53,23,1
54,22,1
55,24,1
56,34,1
57,23,1
58,25,1
59,25,1
60,21,1
61,25,1
62,30,1
63,26,1
64,49,1
65,48,1
66,86,1
67,25,1
68,26,1
69,37,1
70,24,1
71,23,1
72,38,1
73,24,1
74,24,1
75,31,1
76,22,1
77,29,1
78,27,1
79,33,1
80,25,1
81,23,1
82,25,1
83,27,1
84,29,1
85,37,1
86,23,1
87,19,1
88,20,1
89,19,1
90,44,1
91,20,1
92,22,1
93,25,1
94,27,1
95,24,1
96,30,1
97,21,1
98,20,1
99,22,1
100,20,1
101,17,1
102,28,1
103,23,1
104,22,1
105,24,1
106,45,1
107,44,1
108,42,1
109,22,1
110,29,1
111,22,1
112,22,1
113,24,1
114,24,1
115,21,1
116,22,1
117,28,1
118,25,1
119,24,1
120,22,1
121,28,1
122,28,1
123,25,1
124,23,1
125,24,1
126,24,1
127,20,1
128,20,1
129,21,1
130,20,1
131,25,1
132,22,1
133,20,1
134,20,1
135,23,1
